x,y,z
-1.8,-7.5,0
-0.6,-7.5,0
0.6,-7.5,0
1.8,-7.5,0
-1.2,-8.5,0
0,-8.5,0
1.2,-8.5,0
-1.8,-9.5,0
-0.6,-9.5,0
0.6,-9.5,0
1.8,-9.5,0
-1.2,-10.5,0
0,-10.5,0
1.2,-10.5,0
-1.8,-11.5,0
-0.6,-11.5,0
0.6,-11.5,0
1.8,-11.5,0
-1.2,-12.5,0
0,-12.5,0
1.2,-12.5,0
-1.8,-13.5,0
-0.6,-13.5,0
0.6,-13.5,0
1.8,-13.5,0
-1.2,-14.5,0
0,-14.5,0
1.2,-14.5,0
-1.8,-15.5,0
-0.6,-15.5,0
0.6,-15.5,0
1.8,-15.5,0
-1.2,-16.5,0
0,-16.5,0
1.2,-16.5,0
